longitudinal_ha,transversal_ha,unite,famille_id/id,code_article,longueur,largeur,poids_unit,diametre,diametre_longitudinal,maille_longitudinal,maille_transversal
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAX580,580,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx300,300,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2950,2950,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx2500,2500,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2200,2200,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx3400,3400,,1.00000000e+00,1.20000000e+01,,,
,,U,production.production_famille_treillis_soudes,TSLS0,6300,1250,1.25400000e+01,2.86999989e+00,2.86999989e+00,100,50
,,U,production.production_famille_treillis_soudes,TSLS1L,6750,364,1.82250004e+01,9.00000000e+00,9.00000000e+00,150,200
HA,HA,U,production.production_famille_cadre,ca15,,,1.00000001e-01,5.00000000e+00,5.00000000e+00,150,150
,HA,U,production.production_famille_cadre,CA73x12HA,,,2.91000009e+00,1.20000000e+01,,890,730
,HA,U,production.production_famille_cadre,CA75x12HA,,,2.98000002e+00,1.20000000e+01,,890,750
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx4720,,4720,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx3000,3000,,1.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC3S1,3700,1700,1.45629997e+01,6.00000000e+00,6.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC3S2,1900,1900,8.43599987e+00,6.00000000e+00,6.00000000e+00,200,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx2350,2350,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx1700,1700,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx1900,1900,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,FMD6x6000,6000,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"FMD5,5x6000",6000,,1.00000000e+00,5.50000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAX3000,3000,,1.00000000e+00,1.20000000e+01,,,
,,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx2830,2830,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx5630,5630,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx430,430,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx480,480,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx560,560,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx2040,2040,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1660,1660,,1.00000000e+00,8.00000000e+00,,,
,,U,production.production_famille_treillis_soudes,CLR14,2485,2600,2.01399994e+01,5.00000000e+00,5.00000000e+00,200,75
,,U,production.production_famille_treillis_soudes,CLR11,2500,975,7.64499998e+00,5.00000000e+00,5.00000000e+00,200,75
,,U,production.production_famille_treillis_soudes,CLR11L,2500,1950,1.52900000e+01,5.00000000e+00,5.00000000e+00,75,200
